timestamp,age,gender,job_position,num_employees,work_type,workload_rating,work_hours,work_life_balance,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_job_performance,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_personal_relationships,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_physical_health,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_ability_to_focus,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_motivation_at_work,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_overall_mental_wellbeing,_how_often_do_you_feel_stressed_or_overwhelmed_due_to_workrelated_challenges__,workplace_support,consider_leaving,workplace_mental_health_support,negative_consequences,used_mental_health_resources,observed_neg_consequences,digital_overload,work_personal_separation,additional_comments,state,country,primary_cause__freedom_to_take_leaves_for_personal_engagement,primary_cause__workplace_conflicts_(e.g.,primary_cause__harassment),primary_cause__poor_management_practices,primary_cause__lack_of_work-life_balance,primary_cause__toxic_environment,primary_cause__workload_&_deadlines,primary_cause__long_or_inflexible_working_hours,primary_cause__job_insecurity,primary_cause__role_ambiguity_(unclear_expectations_or_responsibilities),secondary_cause__physical_work_environment_(e.g.,secondary_cause__technology_overload_or_digital_fatigue,secondary_cause__limited_access_to_mental_health_resources,secondary_cause__external_personal_factors_impacting_work,secondary_cause__lack_of_recognition_or_rewards,secondary_cause__comfort),secondary_cause__noise,mental_health_resource_anonymous_mental_health_surveys_or_feedback_channels,mental_health_resource_regular_check-ins_or_one-on-one_meetings_with_managers,mental_health_resource_mental_health_awareness_or_training_sessions,mental_health_resource_flexible_hours),mental_health_resource_on-site_counselors_or_therapists,mental_health_resource_no_after-hours_emails),mental_health_resource_remote_work,mental_health_resource_na,mental_health_resource_quiet_zones_or_dedicated_spaces_for_breaks,mental_health_resource_flexible_work_policies_(e.g.,mental_health_resource_employee_assistance_programs_(eaps),mental_health_resource_conflict_resolution_or_grievance_redressal_systems,mental_health_resource_well-defined_boundaries_for_working_hours_(e.g.,mental_health_resource_stress_management_workshops,solution__encouraging_a_culture_of_work-life_balance,solution__recognition_and_rewards_for_performance,solution__improved_access_to_mental_health_resources,solution__open_communication_channels_for_feedback_and_concerns,solution__regular_mental_health_awareness_and_training_programs,solution__regular_breaks_and_vacation_policies,solution__flexible_working_hours,solution__enhanced_physical_work_environment_(e.g.,solution__conflict_resolution_or_better_interpersonal_management,solution__reduced_workload_or_better_workload_management,solution__clearer_role_definitions_and_expectations,solution__ergonomics,solution__counseling_and_therapy_support,solution__quiet_spaces)
11/01/2025 09:39:44,25.0,male,Quant Intern,1-10,Remote,3,25,no,1,3,3,3,4,3,Often,2,yes,maybe,yes,no,3,5,yes,,gurugram,india,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
11/01/2025 10:44:01,45.0,male,Head -Mutual Fund,51-250,On-site,3,65,maybe,4,5,3,4,5,4,Sometimes,3,yes,no,no,no,3,3,no,Balancing is an act and that you have to learn. As early you learn you will be benefited it from corporate world ,mumbai,india,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
11/01/2025 10:44:44,45.0,male,Compliance,51-250,On-site,3,55,no,2,4,4,4,2,2,Often,2,yes,no,yes,no,4,3,maybe,The facility to the resources and the extended insurance cover with some incentives will always boost the employee,maharashtra,india,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1
11/01/2025 10:47:42,45.0,male,"VP, Institutional Equity ",251-500,On-site,3,45,yes,4,4,3,3,4,4,Often,3,yes,yes,yes,yes,3,3,yes,No,mumbai,india,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/01/2025 10:54:13,35.0,male,Manager Academics ,251-500,Hybrid,4,45,no,3,3,3,3,3,3,Sometimes,2,yes,no,maybe,no,3,3,yes,Nil,delhi,india,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
11/01/2025 10:54:37,45.0,male,V.P,51-250,Hybrid,4,75,maybe,3,2,3,2,3,3,Always,3,no,yes,no,yes,2,3,maybe,Mandatory leaves must be in place at all organization; Fun activities to be organized regularly; Get together away from the office etc.,maharashtra,india,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
11/01/2025 11:07:32,25.0,male,ACCOUNTING (MANEGER AT SHIVANI ACCOUNTANCY),11-50,On-site,5,75,yes,5,5,4,5,5,4,Rarely,2,no,no,no,"Yes, they were very helpful",4,4,yes,No,madhya pradesh,india,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11/01/2025 11:19:36,45.0,male,20,51-250,On-site,4,35,yes,1,1,4,2,4,4,Sometimes,3,no,no,no,no,2,2,yes,,maharashtra,india,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/01/2025 11:27:17,45.0,male,Director - Information Communication systems,11-50,Remote,3,45,maybe,2,2,1,2,2,2,Sometimes,4,no,yes,maybe,no,3,4,yes,,united arab emirates,UAE,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1
11/01/2025 11:28:03,45.0,male,Sales,500+,On-site,4,65,maybe,3,4,4,3,3,4,Sometimes,3,no,yes,no,no,3,3,yes,Regular communication between manager,mumbai,india,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
11/01/2025 11:46:29,45.0,female,Director,11-50,Hybrid,4,35,yes,4,5,4,4,4,4,Rarely,5,no,"Yes, very extensively",no,"Yes, they were very helpful",1,2,yes,"It all lies in ones own mind and how one trains it. Challenges are everywhere. But yes, when in doubt do ask for a help and donot struggle alone.",dubai,uae,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
11/01/2025 11:59:20,35.0,male,Fund Manager,51-250,On-site,3,55,yes,2,2,5,4,5,5,Sometimes,2,no,no,no,no,4,1,yes,"In Mumbai - Every Stress is related to travelling, daily travelling by locals the biggest stress in Mumbai, which eventually results in mental stress at work, lower performance, health issues etc…",maharashtra,india,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1
11/01/2025 12:02:36,35.0,female,Banking Service (Treasury Department),500+,On-site,5,45,no,2,2,2,2,3,3,Often,3,yes,yes,maybe,no,3,1,maybe,Need quality working process and reasonable working hours,maharashtra,india,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1
