timestamp,age,gender,country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
2014-08-27 11:29:31,37,female,united states,il,no,no,yes,often,6-25,no,yes,yes,not sure,no,yes,yes,somewhat easy,no,no,some of them,yes,no,maybe,yes,no
2014-08-27 11:29:37,44,male,united states,in,no,no,no,rarely,more than 1000,no,no,maybe,no,maybe,maybe,maybe,don't know,maybe,no,no,no,no,no,maybe,no
2014-08-27 11:29:44,32,male,canada,unknown,no,no,no,rarely,6-25,no,yes,no,no,no,no,maybe,somewhat difficult,no,no,yes,yes,yes,yes,no,no
2014-08-27 11:29:46,31,male,united kingdom,unknown,no,yes,yes,often,26-100,no,yes,no,yes,no,no,no,somewhat difficult,yes,yes,some of them,no,maybe,maybe,no,yes
2014-08-27 11:30:22,31,male,united states,tx,no,no,no,never,100-500,yes,yes,yes,no,maybe,maybe,maybe,don't know,no,no,some of them,yes,yes,yes,maybe,no
2014-08-27 11:31:22,33,male,united states,tn,no,yes,no,sometimes,6-25,no,yes,yes,not sure,no,maybe,maybe,don't know,no,no,yes,yes,no,maybe,maybe,no
2014-08-27 11:31:50,35,female,united states,mi,no,yes,yes,sometimes,1-5,yes,yes,no,no,no,no,no,somewhat difficult,maybe,maybe,some of them,no,no,no,maybe,no
2014-08-27 11:32:05,39,male,canada,unknown,no,no,no,never,1-5,yes,yes,no,yes,no,no,yes,don't know,no,no,no,no,no,no,no,no
2014-08-27 11:32:39,42,female,united states,il,no,yes,yes,sometimes,100-500,no,yes,yes,yes,no,no,no,very difficult,maybe,no,yes,yes,no,maybe,no,no
2014-08-27 11:32:43,23,male,canada,unknown,no,no,no,never,26-100,no,yes,maybe,no,maybe,maybe,maybe,don't know,no,no,yes,yes,maybe,maybe,yes,no
2014-08-27 11:32:44,31,male,united states,oh,no,no,yes,sometimes,6-25,yes,yes,maybe,no,no,no,maybe,don't know,no,no,some of them,yes,no,no,maybe,no
2014-08-27 11:32:49,29,male,bulgaria,unknown,no,no,no,never,100-500,yes,yes,maybe,not sure,no,no,maybe,don't know,no,no,yes,yes,yes,yes,maybe,no
